Book	Chapter	Verse	Hebrew
Genesis	1	1	
Genesis	2	1	
Genesis	3	1	
Genesis	4	1	
Genesis	5	1	
Genesis	6	1	
Genesis	7	1	
Genesis	8	1	
Genesis	9	1	
Genesis	10	1	
Genesis	11	1	
Genesis	12	1	
Genesis	13	1	
Genesis	14	1	
Genesis	15	1	
Genesis	16	1	
Genesis	17	1	
Genesis	18	1	
Genesis	19	1	
Genesis	20	1	
Genesis	21	1	
Genesis	22	1	
Genesis	23	1	
Genesis	24	1	
Genesis	25	1	
Genesis	26	1	
Genesis	27	1	
Genesis	28	1	
Genesis	29	1	
Genesis	30	1	
Genesis	31	1	
Genesis	32	1	
Genesis	33	1	
Genesis	34	1	
Genesis	35	1	
Genesis	36	1	
Genesis	37	1	
Genesis	38	1	
Genesis	39	1	
Genesis	40	1	
Genesis	41	1	
Genesis	42	1	
Genesis	43	1	
Genesis	44	1	
Genesis	45	1	
Genesis	46	1	
Genesis	47	1	
Genesis	48	1	
Genesis	49	1	
Genesis	50	1	
Exodus	1	1	
Exodus	2	1	
Exodus	3	1	
Exodus	4	1	
Exodus	5	1	
Exodus	6	1	
Exodus	7	1	
Exodus	8	1	
Exodus	9	1	
Exodus	10	1	
Exodus	11	1	
Exodus	12	1	
Exodus	13	1	
Exodus	14	1	
Exodus	15	1	
Exodus	16	1	
Exodus	17	1	
Exodus	18	1	
Exodus	19	1	
Exodus	20	1	
Exodus	21	1	
Exodus	22	1	
Exodus	23	1	
Exodus	24	1	
Exodus	25	1	
Exodus	26	1	
Exodus	27	1	
Exodus	28	1	
Exodus	29	1	
Exodus	30	1	
Exodus	31	1	
Exodus	32	1	
Exodus	33	1	
Exodus	34	1	
Exodus	35	1	
Exodus	36	1	
Exodus	37	1	
Exodus	38	1	
Exodus	39	1	
Exodus	40	1	
Leviticus	1	1	
Leviticus	2	1	
Leviticus	3	1	
Leviticus	4	1	
Leviticus	5	1	
Leviticus	6	1	
Leviticus	7	1	
Leviticus	8	1	
Leviticus	9	1	
Leviticus	10	1	
Leviticus	11	1	
Leviticus	12	1	
Leviticus	13	1	
Leviticus	14	1	
Leviticus	15	1	
Leviticus	16	1	
Leviticus	17	1	
Leviticus	18	1	
Leviticus	19	1	
Leviticus	20	1	
Leviticus	21	1	
Leviticus	22	1	
Leviticus	23	1	
Leviticus	24	1	
Leviticus	25	1	
Leviticus	26	1	
Leviticus	27	1	
Numbers	1	1	
Numbers	2	1	
Numbers	3	1	
Numbers	4	1	
