current_name	new_name	estimate	family	style	source	description
01-bc32c-egyptian-hieroglyphs-noto-sans.ttf	01-bc32c-egyptian-hieroglyphs-noto-sans.ttf	bc32c	WTN Egyptian Hieroglyphs Noto Sans	Regular	Noto Sans Egyptian Hieroglyphs	Egyptian hieroglyphic ancestor row; broad early dynastic reference point, not an alphabetic witness.
03-bc15c-proto-sinaitic-15th-century-a.ttf	03-bc15c-proto-sinaitic-15th-century-a.ttf	bc15c	WTN Proto Sinaitic 15th Century A	Regular	Proto Sinaitic 15 / Kris J. Udd; broad Proto-Sinaitic comparison	Hand A previously labeled fifteenth-century Proto-Sinaitic; kept as a fifteenth-century Proto-Sinaitic comparison hand rather than a specific inscriptional attribution.
03-bc15c-proto-sinaitic-15th-century-b.ttf	03-bc15c-proto-sinaitic-15th-century-b.ttf	bc15c	WTN Proto Sinaitic 15th Century B	Regular	Proto Sinaitic 15 / Kris J. Udd; broad Proto-Sinaitic comparison	Hand B previously labeled fifteenth-century Proto-Sinaitic; kept as a fifteenth-century Proto-Sinaitic comparison hand rather than a specific inscriptional attribution.
03-bc15c-proto-sinaitic-generic-a.ttf	03-bc15c-proto-sinaitic-generic-a.ttf	bc15c	WTN Proto Sinaitic Generic A	Regular	Protosinaitic / Kris J. Udd	Additional generic Proto-Sinaitic hand A; source inscription uncertain.
03-bc15c-proto-sinaitic-generic-b.ttf	03-bc15c-proto-sinaitic-generic-b.ttf	bc15c	WTN Proto Sinaitic Generic B	Regular	Protosinaitic / Kris J. Udd	Additional generic Proto-Sinaitic hand B; source inscription uncertain.
03-bc15c-proto-sinaitic-15th-century-light.ttf	03-bc15c-proto-sinaitic-15th-century-light.ttf	bc15c	WTN Proto Sinaitic 15th Century	Light	Proto-Sinaitic reconstruction; compared with Serabit el-Khadim	Serabit el-Khadim-style Proto-Sinaitic reconstruction.
03-bc15c-proto-sinaitic-15th-century.ttf	03-bc15c-proto-sinaitic-15th-century.ttf	bc15c	WTN Proto Sinaitic 15th Century	Regular	Proto-Sinaitic reconstruction; compared with Serabit el-Khadim	Bold companion to the Serabit el-Khadim-style Proto-Sinaitic reconstruction.
03-bc15c-proto-sinaitic-wadi-el-hol-inscription.ttf	03-bc15c-proto-sinaitic-wadi-el-hol-inscription.ttf	bc15c	WTN Proto Sinaitic Wadi el-Hol Inscription	Bold	Wadi el-Hol SVG reconstructions with generic Proto-Semitic and fifteenth-century fallbacks	Inscription-style Proto-Sinaitic font using available Wadi el-Hol SVG letter drawings where present.
03-bc15c-proto-sinaitic-serabit-el-khadim-inscription.ttf	03-bc15c-proto-sinaitic-serabit-el-khadim-inscription.ttf	bc15c	WTN Proto Sinaitic Serabit el-Khadim Inscription	Bold	Serabit el-Khadim SVG reconstructions with generic Proto-Semitic and fifteenth-century fallbacks	Inscription-style Proto-Sinaitic font using available Serabit el-Khadim SVG letter drawings where present.
04-bc14c-ugaritic-noto-sans.ttf	04-bc14c-ugaritic-noto-sans.ttf	bc14c	WTN Ugaritic Noto Sans	Regular	Noto Sans Ugaritic	Ugaritic cuneiform alphabet; Late Bronze Age fourteenth-century BCE reference row.
05-bc13c-proto-canaanite-a.ttf	05-bc13c-proto-canaanite-a.ttf	bc13c	WTN Proto Canaanite A	Regular	Proto Sinaitic 13 / Kris J. Udd	Thirteenth-century Proto-Canaanite alphabetic hand A.
05-bc13c-proto-canaanite-b.ttf	05-bc13c-proto-canaanite-b.ttf	bc13c	WTN Proto Canaanite B	Regular	Proto Sinaitic 13 / Kris J. Udd	Thirteenth-century Proto-Canaanite alphabetic hand B.
06-bc12c-proto-canaanite-izbet-sartah-a.ttf	06-bc12c-proto-canaanite-izbet-sartah-a.ttf	bc12c	WTN Proto Canaanite Izbet Sartah A	Regular	Izbet Sartah / Kris J. Udd	Izbet Sartah abecedary, rounded to the twelfth century BCE.
06-bc12c-proto-canaanite-izbet-sartah-b.ttf	06-bc12c-proto-canaanite-izbet-sartah-b.ttf	bc12c	WTN Proto Canaanite Izbet Sartah B	Regular	Izbet Sartah / Kris J. Udd	Izbet Sartah abecedary, rounded to the twelfth century BCE.
07-bc10c-paleo-hebrew-gezer-a.ttf	07-bc10c-paleo-hebrew-gezer-a.ttf	bc10c	WTN Paleo Hebrew Gezer A	Regular	Gezer Calendar / Kris J. Udd	Gezer Calendar hand; usually placed around the tenth century BCE.
07-bc10c-paleo-hebrew-gezer-b.ttf	07-bc10c-paleo-hebrew-gezer-b.ttf	bc10c	WTN Paleo Hebrew Gezer B	Regular	Gezer Calendar / Kris J. Udd	Gezer Calendar hand; usually placed around the tenth century BCE.
07-bc10c-paleo-hebrew-tel-zayit.ttf	07-bc10c-paleo-hebrew-tel-zayit.ttf	bc10c	WTN Paleo Hebrew Tel Zayit	Regular	Tel Zayit / Kris J. Udd	Tel Zayit abecedary hand; tenth century BCE.
07-bc10c-phoenician-noto-sans.ttf	07-bc10c-phoenician-noto-sans.ttf	bc10c	WTN Phoenician Noto Sans	Regular	Noto Sans Phoenician	Early Phoenician/Paleo-Hebrew comparison row from the Unicode Phoenician block.
08-bc09c-paleo-hebrew-mono.ttf	08-bc09c-paleo-hebrew-mono.ttf	bc09c	WTN Paleo Hebrew Mono	Regular	Paleo Hebrew Mono / Cezary M. Kruk	Modern monospaced reconstruction of Paleo-Hebrew, placed with monarchic Paleo-Hebrew for sorting.
08-bc09c-paleo-hebrew-yoram-gnat.ttf	08-bc09c-paleo-hebrew-yoram-gnat.ttf	bc09c	WTN Paleo Hebrew Yoram Gnat	Regular	Paleo Hebrew / Yoram Gnat	Modern Paleo-Hebrew reconstruction by Yoram Gnat.
08-bc09c-paleo-hebrew-robo.ttf	08-bc09c-paleo-hebrew-robo.ttf	bc09c	WTN Paleo Hebrew Robo	Regular	Paleo Hebrew Robo	Modern reconstruction of Paleo-Hebrew, placed with monarchic Paleo-Hebrew for sorting.
08-bc09c-paleo-hebrew-standard-a.ttf	08-bc09c-paleo-hebrew-standard-a.ttf	bc09c	WTN Paleo Hebrew Standard A	Regular	Paleo Hebrew / Kris J. Udd	Generic Paleo-Hebrew alphabet font, hand A.
08-bc09c-paleo-hebrew-standard-b.ttf	08-bc09c-paleo-hebrew-standard-b.ttf	bc09c	WTN Paleo Hebrew Standard B	Regular	Paleo Hebrew / Kris J. Udd	Generic Paleo-Hebrew alphabet font, hand B.
08-bc09c-paleo-hebrew-mesha-stele-a.ttf	08-bc09c-paleo-hebrew-mesha-stele-a.ttf	bc09c	WTN Paleo Hebrew Mesha Stele A	Regular	Moabite Stone / Kris J. Udd	Moabite/Mesha Stele hand, ninth century BCE.
08-bc09c-paleo-hebrew-mesha-stele-b.ttf	08-bc09c-paleo-hebrew-mesha-stele-b.ttf	bc09c	WTN Paleo Hebrew Mesha Stele B	Regular	Moabite Stone / Kris J. Udd	Moabite/Mesha Stele hand, ninth century BCE.
08-bc09c-paleo-hebrew-tel-dan-a.ttf	08-bc09c-paleo-hebrew-tel-dan-a.ttf	bc09c	WTN Paleo Hebrew Tel Dan A	Regular	Tel Dan Inscription / Kris J. Udd	Tel Dan inscription hand; ninth-century BCE estimate.
08-bc09c-paleo-hebrew-tel-dan-b.ttf	08-bc09c-paleo-hebrew-tel-dan-b.ttf	bc09c	WTN Paleo Hebrew Tel Dan B	Regular	Tel Dan Inscription / Kris J. Udd	Tel Dan inscription hand; ninth-century BCE estimate.
09-bc08c-paleo-hebrew-siloam-a.ttf	09-bc08c-paleo-hebrew-siloam-a.ttf	bc08c	WTN Paleo Hebrew Siloam A	Regular	Siloam Inscription / Kris J. Udd	Siloam inscription hand; late eighth century BCE.
09-bc08c-paleo-hebrew-siloam-b.ttf	09-bc08c-paleo-hebrew-siloam-b.ttf	bc08c	WTN Paleo Hebrew Siloam B	Regular	Siloam Inscription / Kris J. Udd	Siloam inscription hand; late eighth century BCE.
10-bc07c-paleo-hebrew-ketef-hinnom-a.ttf	10-bc07c-paleo-hebrew-ketef-hinnom-a.ttf	bc07c	WTN Paleo Hebrew Ketef Hinnom A	Regular	Ketef Hinnom 1 / Kris J. Udd	Ketef Hinnom amulet hand; late seventh or early sixth century BCE, rounded here to the seventh century BCE.
10-bc07c-paleo-hebrew-ketef-hinnom-b.ttf	10-bc07c-paleo-hebrew-ketef-hinnom-b.ttf	bc07c	WTN Paleo Hebrew Ketef Hinnom B	Regular	Ketef Hinnom 1 / Kris J. Udd	Ketef Hinnom amulet hand; late seventh or early sixth century BCE, rounded here to the seventh century BCE.
10-bc07c-paleo-hebrew-yavneh-yam-a.ttf	10-bc07c-paleo-hebrew-yavneh-yam-a.ttf	bc07c	WTN Paleo Hebrew Yavneh Yam A	Regular	Ostracon Yavneh Yam / Kris J. Udd	Original metadata identifies this as Ostracon Yavneh Yam, not Ketef Hinnom; late seventh-century BCE comparison hand.
10-bc07c-paleo-hebrew-yavneh-yam-b.ttf	10-bc07c-paleo-hebrew-yavneh-yam-b.ttf	bc07c	WTN Paleo Hebrew Yavneh Yam B	Regular	Ostracon Yavneh Yam / Kris J. Udd	Original metadata identifies this as Ostracon Yavneh Yam, not Ketef Hinnom; late seventh-century BCE comparison hand.
11-bc06c-paleo-hebrew-lachish-3.ttf	11-bc06c-paleo-hebrew-lachish-3.ttf	bc06c	WTN Paleo Hebrew Lachish 3	Regular	Lachish Letter 3 / Kris J. Udd	Lachish ostracon 3 hand; early sixth century BCE.
11-bc06c-paleo-hebrew-lachish-4.ttf	11-bc06c-paleo-hebrew-lachish-4.ttf	bc06c	WTN Paleo Hebrew Lachish 4	Regular	Lachish Letter 4 / Kris J. Udd	Lachish ostracon 4 hand; early sixth century BCE.
11-bc06c-paleo-hebrew-lachish-5.ttf	11-bc06c-paleo-hebrew-lachish-5.ttf	bc06c	WTN Paleo Hebrew Lachish 5	Regular	Lachish Letter 5 / Kris J. Udd	Lachish ostracon 5 hand; early sixth century BCE.
12-bc05c-imperial-aramaic-noto-sans.ttf	12-bc05c-imperial-aramaic-noto-sans.ttf	bc05c	WTN Imperial Aramaic Noto Sans	Regular	Noto Sans Imperial Aramaic	Imperial Aramaic administrative script; Persian-period fifth century BCE.
13-bc02c-paleo-hebrew-isaiah-scroll-a.ttf	13-bc02c-paleo-hebrew-isaiah-scroll-a.ttf	bc02c	WTN Paleo Hebrew Isaiah Scroll A	Regular	Isaiah Scroll / Kris J. Udd	Dead Sea Scrolls Paleo-Hebrew style; estimated to the second century BCE.
13-bc02c-paleo-hebrew-isaiah-scroll-b.ttf	13-bc02c-paleo-hebrew-isaiah-scroll-b.ttf	bc02c	WTN Paleo Hebrew Isaiah Scroll B	Regular	Isaiah Scroll / Kris J. Udd	Dead Sea Scrolls Paleo-Hebrew style; estimated to the second century BCE.
