word,j_count,e_count,p_count,total_count,j_rate_per_10k,e_rate_per_10k,p_rate_per_10k,j_share,e_share,p_share,j_expected,e_expected,p_expected,j_log2_enrichment,e_log2_enrichment,p_log2_enrichment,j_woe_bits,e_woe_bits,p_woe_bits,j_signed_info_bits,e_signed_info_bits,p_signed_info_bits,j_vs_e_woe_bits,j_vs_e_signed_info_bits,j_vs_p_woe_bits,j_vs_p_signed_info_bits,e_vs_p_woe_bits,e_vs_p_signed_info_bits,characteristic_source,characteristic_info_bits,global_surprise_bits,g2,p_value,q_value,significant_fdr_0_05,suspected_extraction_fragment,headline_reliable
people,97,174,87,358,39.74758236,72.02582995,13.11386452,0.2709497207,0.4860335196,0.2430167598,76.03418506,75.26773655,206.6980784,0.3527218339,1.207091361,-1.246202238,0.4690207302,1.836417641,-2.08986822,4.985855761,96.33272434,-119.2596713,-0.8590520696,-16.56907987,1.602757901,39.49602681,2.461809971,130.8428954,E,96.33272434,135.8287512,188.2986318,1.292622257e-41,5.055328135e-39,True,False,True
god,54,183,150,387,22.12752008,75.75130392,22.61011124,0.1395348837,0.4728682171,0.3875968992,82.19337882,81.3648437,223.4417775,-0.5983469831,1.167721559,-0.5757165007,-0.7247025008,1.760713459,-1.112047128,-9.772712624,95.0127751,-40.57414821,-1.773842422,-54.45200425,-0.02271898766,-0.0133773561,1.751123434,85.25343983,E,95.0127751,95.02615245,131.7342193,2.479006921e-29,4.101802989e-27,True,False,True
pharaoh,24,92,23,139,9.834453368,38.08262273,3.466883724,0.1726618705,0.6618705036,0.1654676259,29.52165286,29.22406531,80.25428184,-0.2844769955,1.646811235,-1.787402858,-0.3466755623,2.875594104,-2.762637981,-0.993916581,94.69191165,-72.39430349,-1.935372984,-31.18011669,1.503826409,8.88250853,3.439199393,102.5805036,E,94.69191165,103.5744202,143.5846347,6.622054351e-32,1.238612079e-29,True,False,True
balaam,0,45,1,46,0,18.62736982,0.1507340749,0,0.9782608696,0.02173913043,9.769755622,9.671273411,26.55897097,-4.334616128,2.187795127,-4.192458497,-4.649113728,6.834817173,-5.374238558,-15.84420891,94.6335867,-49.75579143,-6.525100765,-45.32970682,-0.1421980625,-0.4519115464,6.382902703,79.24128933,E,94.6335867,95.08549824,131.81649,2.37910098e-29,4.093956966e-27,True,False,True
balak,1,32,0,33,0.4097688903,13.24612965,0,0.0303030303,0.9696969697,0,7.008737729,6.938087447,19.05317482,-2.288322475,2.163699451,-5.316089846,-2.547077838,6.348612774,-6.517160573,-6.792291915,65.87091217,-41.00346614,-4.453874748,-26.76216244,3.027807802,1.894716416,7.481682551,60.97333667,E,65.87091217,67.76562858,93.94310878,3.985778144e-21,3.727569039e-19,True,False,True
egypt,63,123,71,257,25.81544009,50.91481083,10.70211932,0.2451361868,0.4785992218,0.2762645914,54.58319989,54.03298406,148.3838161,0.209903697,1.184202856,-1.061714523,0.2764701,1.791448137,-1.837242662,1.147533588,65.70211687,-68.84337809,-0.9779338035,-14.65632193,1.27378385,17.79758315,2.251717653,82.35216643,E,65.70211687,83.49970002,115.7551633,7.312833146e-26,1.014832522e-23,True,False,True
up,95,138,112,345,38.92804458,57.1239341,16.88221639,0.2753623188,0.4,0.3246376812,73.27316717,72.53455058,199.1922823,0.3759567665,0.926886719,-0.83049574,0.5011767394,1.331055797,-1.508089229,5.53380533,45.99046039,-64.5349906,-0.5535673764,-6.07585637,1.209623166,24.62038658,1.763190543,65.07704164,E,45.99046039,70.61084697,97.88741899,5.546474792e-22,5.681174894e-20,True,False,True
here,100,114,60,274,40.97688903,47.18933687,9.044044497,0.3649635036,0.4160583942,0.2189781022,58.19376175,57.60715032,158.1990879,0.7803826632,0.9831513746,-1.39461066,1.097894318,1.426363438,-2.281127487,24.05338699,42.56445122,-105.673922,-0.2036686258,-0.7674231332,2.179593017,63.87689392,2.383261643,82.38795816,E,42.56445122,106.4413451,147.5590366,9.077417952e-33,2.055318528e-30,True,False,True
joseph,52,70,17,139,21.3079823,28.9759086,2.562479274,0.3741007194,0.5035971223,0.1223021583,29.52165286,29.22406531,80.25428184,0.815058678,1.254981127,-2.212708692,1.155502724,1.933010337,-3.260704812,13.62481457,41.9912077,-90.56397455,-0.4410311609,-2.056529205,3.030456262,50.62929605,3.471487423,78.99568918,E,41.9912077,92.62050375,128.3992821,1.313560733e-28,2.092940101e-26,True,False,True
you'll,56,72,20,148,22.94705786,29.8037917,3.014681499,0.3783783784,0.4864864865,0.1351351351,31.43312678,31.11627097,85.45060224,0.8314167688,1.205763511,-2.074015059,1.181423023,1.834929717,-3.101535886,15.24230622,39.94738476,-90.33190345,-0.3753382534,-1.565778048,2.90829245,51.95029674,3.283630704,76.65537528,E,39.94738476,91.8976815,127.3972377,2.167910442e-28,3.330839543e-26,True,False,True
